,sensor_id,pm25,coverage_percent,minimum,maximum,average,original_observation,hour,day_of_week,day_of_month,month,day_of_year,week_of_year,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,pm25_lag_1h,pm25_lag_3h,pm25_lag_6h,pm25_lag_12h,pm25_lag_24h,pm25_lag_48h,pm25_lag_72h,pm25_rolling_mean_3h,pm25_rolling_std_3h,pm25_rolling_min_3h,pm25_rolling_max_3h,pm25_rolling_mean_6h,pm25_rolling_std_6h,pm25_rolling_min_6h,pm25_rolling_max_6h,pm25_rolling_mean_12h,pm25_rolling_std_12h,pm25_rolling_min_12h,pm25_rolling_max_12h,pm25_rolling_mean_24h,pm25_rolling_std_24h,pm25_rolling_min_24h,pm25_rolling_max_24h,pm25_rolling_mean_72h,pm25_rolling_std_72h,pm25_rolling_min_72h,pm25_rolling_max_72h
month,,0.017104655358099376,,0.016140615698969726,0.016140615698969726,0.016140615698969726,-0.0599764589006981,0.0008664944913496063,0.0023036013544652256,-0.02908613308998329,1.0,0.9947428124786988,0.99445530708848,0.00601631429508105,-0.004540910113985858,0.0039536058106033525,0.003599455451984613,0.011237404876816235,0.016470995911141702,0.01445744221922169,0.008275865956520773,-0.00355620576373283,-0.025120582849530722,-0.05625392724072877,-0.09767307451245806,0.01599603019547096,0.04537219775452858,0.007925087428499863,0.022212988772879742,0.013635785439195018,0.04049502811885394,0.0013870374682404985,0.021357194416582154,0.0067245285568085815,0.012194332538133078,-0.0036197618763421442,0.005654349834511015,-0.017995775201643364,-0.040599866746282354,-0.029024542713552003,-0.045655239938522336,-0.14486648723809267,-0.2217480040679391,-0.20259748033302485,-0.2778825554056648
day_of_year,,0.024825169577198963,,0.024156493434082254,0.024156493434082254,0.024156493434082254,-0.06724445620901523,0.0007912850647252238,2.923704928810093e-05,0.07313000939989878,0.9947428124786988,1.0,0.9997350756928357,0.004767077134962749,-0.004643785341588637,0.004153238190806795,0.002825773378224089,0.011640348276756328,0.02398904138372991,0.02153031403239725,0.014863570135581134,0.0018176796282643442,-0.020976592737153455,-0.05344038758987497,-0.09546534944219204,0.023483901776749094,0.05170203002579564,0.015051239286104462,0.029876026114297453,0.021071507665942076,0.04709133243066744,0.008440504348496873,0.02914627671904017,0.014123844289383023,0.01805075638997458,0.0039146104824730795,0.013134294885985786,-0.010928621340043706,-0.03608557868316874,-0.020275603655944663,-0.039337712533882484,-0.1408957081774525,-0.2147667301579647,-0.19871749482154694,-0.2713294161468249
week_of_year,,0.02550504952532263,,0.02474479194390717,0.02474479194390717,0.02474479194390717,-0.06660625439700593,0.0006071540187395714,-0.022592186165313975,0.07339323618072488,0.99445530708848,0.9997350756928357,1.0,-0.013169263394814917,-0.0045518440333814575,0.0041829837983885535,0.01938756491549525,0.0192963524082357,0.024668639019935285,0.02212705945908785,0.015386679723734633,0.0024571328265741038,-0.019991514675565987,-0.052046681700310855,-0.09425737579005065,0.02411434011153732,0.052331603913120965,0.01565370884521843,0.03055155015878732,0.02163964105537691,0.047472473709967114,0.009083894778320754,0.029693592365784092,0.01466525366898991,0.01809700326405025,0.004830371952217897,0.013521475080499796,-0.010377394621956741,-0.03617590262644949,-0.01941265322753108,-0.03916425948492704,-0.14053719566741632,-0.2151194378375921,-0.1990442543677051,-0.27169342794608875
is_weekend,,0.01090731229710126,,0.015058822186080621,0.015058822186080621,0.015058822186080621,-0.051523045042266284,0.013933252890441975,0.7936252184154616,-0.0147313695011953,0.00601631429508105,0.004767077134962749,-0.013169263394814917,1.0,-0.01076823112775821,-0.004274515001631683,-0.7881547705118552,0.19187588143170237,0.009928779353585458,0.009140183241474583,0.009080192803222491,0.007909383741057027,0.0034423128631509213,-0.0390658675740188,-0.0207441676956065,0.010801017288856591,-0.008004180064539755,0.014398942426294225,0.007882288053436765,0.012502853490683613,-0.0011771278007409716,0.01570329961191682,0.010780076123095216,0.013351638135335549,0.00394712517075526,0.009712985279130774,0.011835078458309205,0.015489511056615234,0.004327533414783404,0.005307374582817651,0.012249308848678461,0.01056650684828445,-0.0038692102892720548,0.012617134566005083,0.007057380940869439
hour_sin,,-0.0274317980502626,,-0.027930419777273587,-0.027930419777273587,-0.027930419777273587,-0.04496342268218588,-0.7759410764914874,-0.003913500749703454,-0.0002879759838280022,-0.004540910113985858,-0.004643785341588637,-0.0045518440333814575,-0.01076823112775821,1.0,0.0009915898249268898,-0.00011765858948833276,-0.006336323083729217,0.014341010773101954,0.09258099889627679,0.1588283823476764,0.02710109902315726,-0.025684670288501445,-0.027877932228955696,-0.031147407642870172,0.054596996254450206,0.08891177040618485,0.04175847588520935,0.06397654298979276,0.10331031651651383,0.09790305601723603,0.08892998685446145,0.1056024279532038,0.11887326965385804,0.03327689621247383,0.10998322972661818,0.07730107299982114,-0.005762371185226527,0.003328704523843215,-0.008740888662188485,-0.001184170313432737,-0.011729486632512418,-0.004331835348894774,-0.02281288927344658,-0.0034019374612626677
hour_cos,,0.1574257735522455,,0.15801846851048312,0.15801846851048312,0.15801846851048312,0.012303518436931714,-0.10108092640341604,-0.0022933272388862484,0.0021950029701831597,0.0039536058106033525,0.004153238190806795,0.0041829837983885535,-0.004274515001631683,0.0009915898249268898,1.0,0.0034618918295031427,-0.0027461189738290084,0.15868406812561625,0.12943106060239792,0.025476650280547294,-0.16078830006414732,0.1518474113470177,0.15101238858456412,0.15872756033911503,0.1495419709520743,0.0681509966234283,0.15415287521636153,0.14025493159423644,0.1128992762704305,0.01924954151026913,0.1282299101050027,0.08360520288905536,0.004548522408719324,-0.03865448825874932,0.028064217887415838,-0.02113474935388869,-0.004854654441183356,0.008583514723701753,0.0019633588916689376,0.004888672082957316,-0.008836303445453109,-0.007254187459870704,-0.0003513808747143176,-0.0032869249857084035
dow_sin,,0.004736765528978444,,0.002299481582284202,0.002299481582284202,0.002299481582284202,0.021969418606741797,-0.0011319970648468456,-0.731548433450745,-0.005395588835222234,0.003599455451984613,0.002825773378224089,0.01938756491549525,-0.7881547705118552,-0.00011765858948833276,0.0034618918295031427,1.0,-0.019691965354895313,0.005426688815633466,0.004347796922343632,0.00268477852091134,0.005647502289392094,0.015300121860458763,0.034043753170331155,0.028629711882431474,0.004364996516838512,0.031150793076025425,-0.00223677647767143,0.00961052164152788,0.00352203371456805,0.03750571565251685,-0.008646505896188797,0.013379117999134917,0.0019195210530496935,0.04166785537840001,-0.01331206255422306,0.018449835389579262,0.0031271275922929447,0.0367301700535395,-0.003958216892169856,0.021945140555401487,-0.019887196728689778,-0.015631392252126376,-0.007883110754963363,-0.018303899930146385
dow_cos,,0.012781467727924822,,0.014100326570006871,0.014100326570006871,0.014100326570006871,-0.06758677584136946,0.004355727085727655,-0.33785678016444204,0.002428872404704383,0.011237404876816235,0.011640348276756328,0.0192963524082357,0.19187588143170237,-0.006336323083729217,-0.0027461189738290084,-0.019691965354895313,1.0,0.012542613991351126,0.01102581453006117,0.008097074109245966,0.01032345216415602,0.013434223927100841,-0.00010364236570840946,-0.0201268987889217,0.01180851324061315,0.0056412035023750565,0.01465841479238417,0.01281635177461828,0.01073263708618821,0.00409046813981131,0.016609447613743743,0.013655737680835984,0.008205596481916108,-0.00012419124513525653,0.013126294307040143,0.012035697059024006,0.00650672371317783,-0.01007463328324861,0.0008955241567422377,0.002889983617228643,-0.0170840331457602,-0.04109164313621989,-0.023284116071645204,-0.021239529288547176
pm25_lag_1h,,0.9536282264412057,,0.9533300221459079,0.9533300221459079,0.9533300221459079,0.025317283440855404,-0.025369052936886828,0.0012750411246526979,0.03545355385820511,0.016470995911141702,0.02398904138372991,0.024668639019935285,0.009928779353585458,0.014341010773101954,0.15868406812561625,0.005426688815633466,0.012542613991351126,1.0,0.8933109534379128,0.7464374915193506,0.5663471691195001,0.7779651140854255,0.6869254744945323,0.6566674468973256,0.9707495003653176,0.6536401420847223,0.9599542224218277,0.9591618495276811,0.9179746881031564,0.7067214505761013,0.88890246016151,0.9036063559152854,0.8346343698294183,0.7077161036882513,0.7964425021007626,0.8224194641937503,0.8259968015426069,0.691541189119936,0.7634027460597753,0.7753982421381297,0.7611072527068048,0.66255659073746,0.6872578963325467,0.6796390852735379
pm25_lag_3h,,0.8398417853717269,,0.8419000974394671,0.8419000974394671,0.8419000974394671,0.006526195939148119,-0.06372022482647129,0.004861322900838825,0.030865829920327006,0.01445744221922169,0.02153031403239725,0.02212705945908785,0.009140183241474583,0.09258099889627679,0.12943106060239792,0.004347796922343632,0.01102581453006117,0.8933109534379128,1.0,0.8404871667053612,0.6067649135503737,0.7361062193824534,0.648618164029836,0.6123205193068534,0.9707234926491825,0.6835160638376856,0.9529616469471971,0.9649789756023687,0.9727394658849061,0.7270440369212048,0.9244921214657055,0.9370304856665196,0.8989965817794338,0.7385784572076541,0.8296852579828202,0.860963727951316,0.8402772178509289,0.7099750903064133,0.7674178976225385,0.788567429854141,0.7683374322809348,0.6722750815507017,0.6885326244871397,0.6902369526770371
